System,p_txt,p_tags,alpha,BLEU_nb,p1,p2,p3,p4,bp,BLEU_br,p'1,p'2,p'3,p'4,bp',BLEU_br+,p'1+,p'2+,p'3+,p'4+,S
mixed.0.0,0,0,0.19878674755016332,100.00000000000004,100.0,100.0,100.0,100.0,1.0,100.00000000000004,100.0,100.0,100.0,100.0,1.0,100.00000000000004,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,1.0
mixed.0.10,0,10,0.19878674755016332,100.00000000000004,100.0,100.0,100.0,100.0,1.0,97.21047237808384,99.11130284728213,97.8725330436357,96.61969148733574,95.28017674231774,1.0,100.00000000000004,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,0.9721047237808379
mixed.0.20,0,20,0.19878674755016332,100.00000000000004,100.0,100.0,100.0,100.0,1.0,93.99950858229734,98.42105263157895,95.4644215100489,92.63949723862122,89.69672625025106,1.0,100.00000000000004,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,0.939995085822973
mixed.0.30,0,30,0.19878674755016332,100.00000000000004,100.0,100.0,100.0,100.0,1.0,91.4331917158769,97.85159620362381,93.37316675719717,89.497238621215,85.47042875790741,1.0,100.00000000000004,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,0.9143319171587686
mixed.0.40,0,40,0.19878674755016332,100.00000000000004,100.0,100.0,100.0,100.0,1.0,88.32219516204188,97.35979292493529,91.03747963063553,85.65035231384498,80.15865046691435,1.0,100.00000000000004,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,0.8832219516204184
mixed.0.50,0,50,0.19878674755016332,100.00000000000004,100.0,100.0,100.0,100.0,1.0,85.77011914213034,97.04055220017256,88.95527792866196,82.48904970481813,76.00160658700673,1.0,100.00000000000004,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,0.8577011914213031
mixed.0.60,0,60,0.19878674755016332,100.00000000000004,100.0,100.0,100.0,100.0,1.0,82.7748182960701,96.67817083692839,86.58337859858773,78.83260331365454,71.1416808916558,1.0,100.00000000000004,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,0.8277481829607006
mixed.0.70,0,70,0.19878674755016332,100.00000000000004,100.0,100.0,100.0,100.0,1.0,79.94329562414501,96.4969801553063,84.45591164222343,75.33803085126642,66.52274324731398,1.0,100.00000000000004,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,0.7994329562414497
mixed.0.80,0,80,0.19878674755016332,100.00000000000004,100.0,100.0,100.0,100.0,1.0,77.36623880730536,96.16048317515099,82.34655078761543,72.20529422967054,62.66064257028113,1.0,100.00000000000004,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,0.7736623880730533
mixed.0.90,0,90,0.19878674755016332,100.00000000000004,100.0,100.0,100.0,100.0,1.0,74.46484513198378,95.87575496117343,80.15571247510411,68.71072176728242,58.22873782508284,1.0,100.00000000000004,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,0.7446484513198375
mixed.10.0,10,0,0.19878674755016332,81.41150629573751,94.17099765617039,86.20429295653112,78.37094741665712,71.13200634998168,0.9925884903197678,84.03136011222092,95.0334288443171,88.02515264740727,81.478285878631,75.03286479927192,0.9936815894431178,84.70541016642264,95.13758192961197,88.84642312550451,82.26780051123049,75.93354608435885,0.9920424202789716
mixed.10.10,10,10,0.19878674755016332,81.41150629573751,94.17099765617039,86.20429295653112,78.37094741665712,71.13200634998168,0.9925884903197678,81.6059555549306,94.16514717374316,86.07491114553905,78.62141693030391,71.38234401860653,0.9936815894431178,84.70541016642264,95.13758192961197,88.84642312550451,82.26780051123049,75.93354608435885,0.963409012418422
mixed.10.20,10,20,0.19878674755016332,81.41150629573751,94.17099765617039,86.20429295653112,78.37094741665712,71.13200634998168,0.9925884903197678,78.80099870926799,93.47052183728401,83.84215802424131,75.22768670309654,67.08463949843261,0.9936815894431178,84.70541016642264,95.13758192961197,88.84642312550451,82.26780051123049,75.93354608435885,0.9302947539530931
mixed.10.30,10,30,0.19878674755016332,81.41150629573751,94.17099765617039,86.20429295653112,78.37094741665712,71.13200634998168,0.9925884903197678,76.67908361503513,92.89745593470522,82.09240863938759,72.7063560540696,63.94984326018809,0.9936815894431178,84.70541016642264,95.13758192961197,88.84642312550451,82.26780051123049,75.93354608435885,0.9052442277816966
mixed.10.40,10,40,0.19878674755016332,81.41150629573751,94.17099765617039,86.20429295653112,78.37094741665712,71.13200634998168,0.9925884903197678,73.84787339766048,92.5414604497699,79.79770366320393,69.37308282208589,59.54499494438827,0.9936815894431178,84.70541016642264,95.13758192961197,88.84642312550451,82.26780051123049,75.93354608435885,0.8718200319503783
mixed.10.50,10,50,0.19878674755016332,81.41150629573751,94.17099765617039,86.20429295653112,78.37094741665712,71.13200634998168,0.9925884903197678,71.37709905772614,92.02917426413129,77.72006560962275,66.31518404907976,56.127401415571285,0.9936815894431178,84.70541016642264,95.13758192961197,88.84642312550451,82.26780051123049,75.93354608435885,0.8426510056145167
mixed.10.60,10,60,0.19878674755016332,81.41150629573751,94.17099765617039,86.20429295653112,78.37094741665712,71.13200634998168,0.9925884903197678,69.05783737688887,91.67317877919596,75.87023874612721,63.592791411042946,52.74014155712841,0.9936815894431178,84.70541016642264,95.13758192961197,88.84642312550451,82.26780051123049,75.93354608435885,0.8152706803639741
mixed.10.70,10,70,0.19878674755016332,81.41150629573751,94.17099765617039,86.20429295653112,78.37094741665712,71.13200634998168,0.9925884903197678,66.57016110637652,91.60371624555006,73.71058866411518,60.60199386503067,49.22656960873521,0.9936815894431178,84.70541016642264,95.13758192961197,88.84642312550451,82.26780051123049,75.93354608435885,0.7859021162353693
mixed.10.80,10,80,0.19878674755016332,81.41150629573751,94.17099765617039,86.20429295653112,78.37094741665712,71.13200634998168,0.9925884903197678,63.85134492234321,91.27376921073196,71.73318753417168,57.30444785276074,45.43983822042467,0.9936815894431178,84.70541016642264,95.13758192961197,88.84642312550451,82.26780051123049,75.93354608435885,0.7538048018053749
mixed.10.90,10,90,0.19878674755016332,81.41150629573751,94.17099765617039,86.20429295653112,78.37094741665712,71.13200634998168,0.9925884903197678,61.419252604068554,91.02196752626553,69.71933661381448,54.62039877300614,42.10898796886058,0.9936815894431178,84.70541016642264,95.13758192961197,88.84642312550451,82.26780051123049,75.93354608435885,0.7250924407708641
